orden_id,cliente_id,fecha,canal,moneda,total
580433da-97a7-468b-bcbf-96778beb25a7,cc2e312d-c5a6-452e-877c-3866bb645d06,2024-10-04T01:36:29,APP,CRC,810501.04
04f7aa36-ccf7-4eb5-b222-22b3bb3a156c,9c3e5c19-9bff-4366-8c71-3f6677a95090,2025-05-02T20:28:38,WEB,CRC,152297.24
07b0eea4-9879-43e3-be02-cad5cbe81f5b,57b5cb4c-9357-442f-b939-6152da7efe9b,2024-11-23T20:42:15,WEB,CRC,1133599.7
34781153-69cc-4c33-b158-da6d89268fb0,720f138b-a4b4-4ee2-a930-e5a2b94d10a6,2023-12-25T21:41:40,PARTNER,CRC,802171.59
554346ba-db31-40df-9f2f-89a82843ed24,585f684d-2b2f-440e-9ed4-fb909959e85f,2023-11-19T13:06:42,WEB,CRC,274176.92
aeccb8af-e0d9-4e2a-9971-e5b1dfff5935,5f1c307a-fe9c-407c-a3a9-a11bcbbe2114,2023-05-29T11:05:18,PARTNER,USD,754.62
cd64c44e-ae12-45b2-9c0e-832266d4c049,a28ef26a-7ce2-4e20-b3c8-d643aa8d5b16,2023-08-10T04:04:13,APP,CRC,1201567.86
53a32688-300f-4554-b72a-5b3bf490f52a,720f138b-a4b4-4ee2-a930-e5a2b94d10a6,2024-12-06T04:36:50,WEB,USD,2738.06
1c6ecf86-6111-462e-a89a-9556a32e73d1,995070cb-5151-4f50-90bd-79f8393bcbf5,2023-04-05T13:03:42,APP,CRC,977067.89
60628f21-cb97-40a1-81b3-5a0ee4370167,3fa27a3e-3cda-4dd2-87b4-4056394dbd33,2025-03-06T23:20:13,WEB,USD,1410.29
047a46be-4548-4aee-9e40-85ccc1b7fbcf,d08c0bc1-8043-4b10-aac1-ecad425719d3,2023-09-06T20:25:11,PARTNER,USD,1318.11
28d379e0-32b2-4cf0-ace4-7b8c63eae138,772c463a-0eda-4291-a1a9-bd958fd87469,2025-06-06T05:54:04,APP,CRC,955792.2
8ebc5b7e-97cb-4524-933e-ee0d51564660,9c9d49d2-07c8-4609-b4e6-f61f48a598ce,2024-04-06T09:06:25,APP,USD,2276.01
95a87759-f05b-4467-9910-ff2b7d013c55,2945fc5c-5cc4-42ff-8510-0c67a4bba020,2023-10-02T11:16:38,PARTNER,USD,245.36
1f4b52b5-88ef-47cd-af01-892f56b12df2,287f2edd-0187-4533-a015-66481636786f,2024-08-13T00:39:56,PARTNER,USD,1409.63
8b600541-d4f1-4f93-a6cd-8ebf47c9b755,c8c0ab4a-9302-46c8-b0e7-3831d0c34a4c,2023-07-06T19:49:31,APP,CRC,1212253.93
59c7af30-d189-43bd-9e5d-f5e5880e36f4,c2078238-f805-4b09-8d00-03006a29de36,2024-06-09T01:15:55,WEB,USD,1307.87
de67889f-8c24-4946-b150-f2e6075ecee8,d88b9ec0-7f28-4ea6-980f-4065cdbaac2b,2025-04-23T06:21:00,PARTNER,USD,1909.84
d932fb12-06e3-4295-8c1a-d191aabf19b3,34bc509c-dbd4-4e9e-91ec-18eaddf8dd21,2024-06-25T12:17:19,WEB,CRC,444484.02
5888a179-4f57-4d38-a2c6-0bbd5b6c3d6a,acad92a7-92f6-4a73-91e6-0051c8f46781,2025-03-21T15:22:01,WEB,USD,2165.66
f4a4c4c6-fe4c-4078-b46d-07cdff5e075a,2a518911-9bbe-40d9-b65c-0848e5683e8c,2024-03-31T11:25:56,APP,CRC,1261804.42
701f6dc8-fd8d-4b36-ac9c-2a3c7f2ed7fb,25c86702-48af-4f29-9668-ec5fedf37303,2023-04-17T06:22:58,APP,USD,2758.6
66a7d201-74d7-410d-a5e3-efbb02d0e5f2,3e9e350a-472f-4f6d-8088-4d8152411e6e,2023-05-26T23:32:48,PARTNER,CRC,681618.67
562ba65a-26fa-4c2c-b106-07707386e418,5906364b-4c0e-4fb2-be96-e07aeabcdd90,2023-05-19T16:51:00,WEB,USD,1306.81
349a348f-de0c-407d-bdfb-86939a0b500c,1eb052e4-2c58-4a87-a9e4-49120d42e437,2023-01-06T04:20:15,PARTNER,CRC,1336243.37
3663dc20-65aa-4162-bcff-a6f93b0127ec,c54ffd5f-9f5e-43e6-9197-93fdbf80fe13,2023-03-18T22:28:47,APP,CRC,352358.32
